From	To
A0A024R1N1	MYH9
P21333	FLNA
Q09666	AHNAK
Q9Y490	TLN1
D9ZGF2	COL6A3
Q14315	FLNC
B7ZW00	COL6A3
A0A024R694	ACTN1
Q9NZM1	MYOF
Q15149	PLEC
A0A0S2Z3G9	ACTN4
A0A024R462	FN1
A0A024RC65	hCG_1991735
P18206	VCL
A0A087WVQ6	CLTC
V9HWP2	HEL-S-125m
P02452	COL1A1
P78527	PRKDC
P13639	EEF2
P08670	VIM
A0A024RD80	HSP90AB1
P63261	ACTG1
V9HWB8	HEL-S-30
A0A0S2Z3H5	COL1A2
P55072	VCP
A7BI36	RRBP1
A0A024R5Z9	PKM2
E5KNY5	LRPPRC
V9HWB4	HEL-S-89n
P49327	FASN
D3DTX7	COL1A1
V9HW31	HEL-S-271
V9HW22	HEL-S-72p
P02545	LMNA
P26038	MSN
A0A024R3X4	HSPD1
P04406	GAPDH
P07437	TUBB
P68371	TUBB4B
A0A024R663	KTN1
P35221	CTNNA1
O75369	FLNB
P22314	UBA1
Q9Y4L1	HYOU1
Q9Y678	COPG1
P07814	EPRS
Q71U36	TUBA1A
P50454	SERPINH1
A0A0S2Z2Z6	ANXA6
Q13200	PSMD2
Q13885	TUBB2A
P06733	ENO1
Q05682	CALD1
Q4LE36	ACLY
A0A024R4E5	HDLBP
A0A024RBH2	CKAP4
A0A0S2Z377	ANXA6
F5H5D3	TUBA1C
A0A024R889	SPTAN1
A0A090N8Y2	ERP70
V9HW88	HEL-S-99n
P38646	HSPA9
P55060	CSE1L
Q9BSJ8	ESYT1
P53618	COPB1
V9HVY3	HEL-S-269
A0A024R0S6	EHD2
P15924	DSP
A0A140VJE8	AP2B1
Q9NYU2	UGGT1
A0A024R8S5	P4HB
Q13509	TUBB3
P05023	ATP1A1
A0A024RDS1	HSPH1
P17301	ITGA2
P34932	HSPA4
Q14152	EIF3A
P68366	TUBA4A
Q9BUF5	TUBB6
V9HWF4	HEL-S-68p
P13797	PLS3
P41252	IARS
V9HW96	HEL-S-100n
E1NZA1	PRIC295
Q96AY3	FKBP10
A0A0G2JIW1	HSPA1B
P13010	XRCC5
A0A0S2Z3L2	ATP2A2
P05556	ITGB1
E7ESP4	ITGA2
X5D2M8	MVP
P04843	RPN1
Q15075	EEA1
A0A1C7CYX9	DPYSL2
P25705	ATP5F1A
H0YFD6	HADHA
O60664	PLIN3
P49368	CCT3
P33176	KIF5B
P27816	MAP4
P52272	HNRNPM
P62736	ACTA2
P23634	ATP2B4
P54886	ALDH18A1
P12109	COL6A1
P04083	ANXA1
Q6DD88	ATL3
P60842	EIF4A1
D3DVC4	NES
O95782	AP2A1
O00159	MYO1C
P12956	XRCC6
Q13263	TRIM28
P50990	CCT8
O60716	CTNND1
D6REX3	SEC31A
P07996	THBS1
P11047	LAMC1
P13674	P4HA1
D3DPU2	CAP1
Q10567	AP1B1
P17987	TCP1
O95373	IPO7
V9HW37	HEL-S-69
